,Rank,Company,Revenue($m),Profits($m),Assets($m),Market Value($m),Employees,Domain,Alexa Rank,Back Links,Page Authority,Domain Authority,Moz Rank,Page Views,Domain Worth,Code Size,Text to Code Ratio,Semrush Rank,Organic Keywords,Organic Traffic,Opportunity Cost,Adwords Keywords,Adwords Traffic,Adwords Budget
333,344,EMCOR Group,9174.6,325.1,4830.4,3449.8,36000,emcorgroup.com,711588,0,0/,0/,0/,1.55K,3.39K,,'0.68%,,,,,,,
334,345,Avis Budget Group,9172.0,302,23126.0,966.6,25600,avisbudgetgroup.com,280671,0,0/,0/,0/,3.92K,8.58K,,'0.68%,,,,,,,
335,346,J.B. Hunt Transport Services,9165.3,516.3,5470.9,9800.3,29056,jbhunt.com,57750,0,0/,0/,0/,19.05K,41.71K,,'0.68%,,,,,,,
336,347,Xerox Holdings,9145.0,1353,15047.0,4030.2,27000,xerox.com,14693,0,0/,0/,0/,74.87K,163.96K,,'0.68%,,,,,,,
337,348,Wayfair,9127.1,-984.6,2953.0,5042.7,16985,wayfair.com,552,0,0/,0/,0/,1.99M,4.36M,,'0.68%,56,4235441,50702008,45747831$,112636,5354456,6449421$
338,349,KKR,9120.3,2005,60899.3,19912.6,1384,kkr.com,180507,0,0/,0/,0/,6.09K,13.34K,,'0.68%,,,,,,,
339,350,AGCO,9041.4,125.2,7759.7,3546.3,20961,agcocorp.com,126792,0,0/,0/,0/,8.68K,19K,,'0.68%,,,,,,,
340,351,Alleghany,9040.7,857.8,26931.6,7923.5,10786,alleghany.com,1634405,0,0/,0/,0/,673,1.47K,,'0.68%,424607,341,2386,389$,0,0,0$
341,352,Icahn Enterprises,8992.0,-1098,24639.0,10365.7,28033,ielp.com,1819434,0,0/,0/,0/,604,1.32K,,'0.68%,,,,,,,
342,353,Voya Financial,8942.0,-351,169051.0,5366.2,6000,voya.com,16357,0,0/,0/,0/,67.25K,147.28K,,'0.68%,,,,,,,
343,354,Ryder System,8925.8,-24.4,14475.3,1380.7,39900,ryder.com,95198,0,0/,0/,0/,11.55K,25.3K,,'0.68%,,,,,,,
344,355,Air Products & Chemicals,8918.9,1760,18942.8,44049.6,17570,airproducts.com,167321,0,0/,0/,0/,6.57K,14.4K,,'0.68%,,,,,,,
345,356,Mosaic,8906.3,-1067.4,19298.5,4098.2,12600,mosaicco.com,503072,0,0/,0/,0/,2.19K,4.79K,,'0.68%,,,,,,,
346,357,Huntington Ingalls Industries,8899.0,549,7031.0,7420.3,42000,huntingtoningalls.com,294075,0,0/,0/,0/,3.74K,8.19K,,'0.68%,,,,,,,
347,358,Berry Global Group,8878.0,404,16469.0,4463,48000,berryglobal.com,341146,0,0/,0/,0/,3.22K,7.06K,,'0.68%,40275,16419,49573,40174$,8,618,311$
348,359,Anixter International,8845.6,262.9,4808.9,2972.7,9400,anixter.com,52138,0,0/,0/,0/,21.1K,46.2K,,'0.68%,,,,,,,
349,360,Alaska Air Group,8781.0,769,12993.0,3490,24134,alaskaair.com,3247,0,0/,0/,0/,338.77K,741.91K,,'0.68%,,,,,,,
350,362,Dick's Sporting Goods,8750.7,297.5,6628.6,1848.3,28450,dickssportinggoods.com,2563,0,0/,0/,0/,429.18K,939.91K,,'0.68%,,,,,,,
351,363,Caesars Entertainment,8742.0,-1195,25345.0,4612.1,64000,caesars.com,13443,0,0/,0/,0/,81.83K,179.2K,,'0.68%,,,,,,,
352,364,Genworth Financial,8681.0,343,101342.0,1675.8,3100,genworth.com,154965,0,0/,0/,0/,7.1K,15.54K,,'0.68%,,,,,,,
353,365,Targa Resources,8671.1,-209.2,18815.1,1610.8,2680,targaresources.com,2228008,0,0/,0/,0/,493,1.08K,,'0.68%,103884,1320,15159,6036$,0,0,0$
354,366,Coty,8648.5,-3784.2,17665.4,3924.4,19000,coty.com,190278,0,0/,0/,0/,5.78K,12.66K,,'0.68%,,,,,,,
355,368,Thrivent Financial for Lutherans,8611.7,968.1,102478.3,-,3235,thrivent.com,55212,0,0/,0/,0/,19.92K,43.63K,,'0.68%,20429,14230,65460,125260$,223,709,7322$
356,369,Autoliv,8547.6,461.5,6771.2,4017.4,61957,autoliv.com,334182,0,0/,0/,0/,3.29K,7.21K,,'0.68%,,,,,,,
357,370,SpartanNash,8536.1,5.7,2275.6,520.5,13800,spartannash.com,358123,0,0/,0/,0/,3.07K,6.72K,,'0.68%,,,,,,,
358,371,Eversource Energy,8526.5,909.1,41123.9,25835.3,8234,eversource.com,19033,0,0/,0/,0/,57.79K,126.57K,,'0.68%,,,,,,,
359,372,Darden Restaurants,8510.4,713.4,5892.8,6580,184514,darden.com,64952,0,0/,0/,0/,16.94K,37.09K,,'0.68%,,,,,,,
360,373,Chesapeake Energy,8489.0,-308,16193.0,337.7,2300,chk.com,532406,0,0/,0/,0/,2.07K,4.53K,,'0.68%,,,,,,,
